YEAR  Globe  North  Tropics  South
1860  0.755683  0.048167  0.591232  0.116284  
1861  -0.802583  -0.624941  -0.232252  0.054609  
1862  -1.273385  -0.082797  -1.046703  -0.143885  
1863  0.595346  0.210881  0.293871  0.090594  
1864  1.084599  0.255204  0.767907  0.061488  
1865  -0.284847  0.268038  -0.541267  -0.011618  
1866  0.337934  0.230013  0.174173  -0.066252  
1867  0.302616  -0.002176  0.372859  -0.068067  
1868  -0.007639  0.170870  -0.130132  -0.048377  
1869  0.247357  -0.182994  0.498862  -0.068511  
1870  0.411033  -0.025241  0.423928  0.012346  
1871  -0.139624  -0.088626  -0.117376  0.066377  
1872  -0.351813  0.364910  -0.737579  0.020856  
1873  0.738812  0.201101  0.494720  0.042990  
1874  0.182457  0.545974  -0.369052  0.005534  
1875  -0.277830  0.630726  -0.984604  0.076048  
1876  1.064322  -0.035499  1.132315  -0.032495  
1877  1.256969  -0.378981  1.582976  0.052974  
1878  -0.414360  -0.540039  0.046940  0.078738  
1879  -0.392176  0.358734  -0.734117  -0.016793  
1880  0.933328  0.109897  0.707607  0.115825  
1881  -0.634051  -0.562744  -0.125814  0.054506  
1882  -1.092598  -0.020359  -0.928753  -0.143486  
1883  0.813589  0.286050  0.435395  0.092144  
1884  1.296744  0.336215  0.896734  0.063796  
1885  -0.049594  0.346688  -0.384268  -0.012014  
1886  0.563706  0.320011  0.309040  -0.065345  
1887  0.529528  0.083990  0.512651  -0.067113  
1888  0.239575  0.262986  0.022297  -0.045707  
1889  0.488501  -0.091365  0.647188  -0.067323  
1890  0.673622  0.070400  0.590264  0.012958  
1891  0.121161  0.011544  0.037920  0.071697  
1892  -0.069926  0.468268  -0.561332  0.023138  
1893  1.022400  0.305440  0.671833  0.045127  
1894  0.462797  0.656630  -0.200518  0.006685  
1895  -0.012978  0.737459  -0.828173  0.077737  
1896  1.342478  0.066458  1.303602  -0.027583  
1897  1.571920  -0.279862  1.795360  0.056422  
1898  -0.114595  -0.440589  0.244133  0.081861  
1899  -0.151572  0.471438  -0.608486  -0.014525  
1900  1.212915  0.208870  0.886443  0.117602  
1901  -0.378378  -0.470625  0.033575  0.058673  
1902  -0.873705  0.059884  -0.790537  -0.143052  
1903  1.043719  0.381341  0.566424  0.095954  
1904  1.566336  0.427834  1.072529  0.065973  
1905  0.146582  0.431109  -0.274429  -0.010098  
1906  0.786786  0.406662  0.446507  -0.066383  
1907  0.732465  0.161370  0.634595  -0.063500  
1908  0.421331  0.339618  0.125692  -0.043980  
1909  0.671052  -0.024058  0.762703  -0.067593  
1910  0.849155  0.141694  0.690595  0.016866  
1911  0.284915  0.084304  0.126774  0.073838  
1912  0.091204  0.538099  -0.471265  0.024369  
1913  1.196554  0.370245  0.780392  0.045917  
1914  0.613055  0.725753  -0.121104  0.008407  
