YEAR  Globe  North  Tropics  South
1860  0.755683  0.048167  0.591232  0.116284  
1861  -0.992786  -0.719362  -0.317264  0.043839  
1862  -1.477748  -0.188060  -1.133928  -0.155760  
1863  0.367677  0.091838  0.200225  0.075614  
1864  0.838275  0.131133  0.661198  0.045944  
1865  -0.542353  0.133901  -0.647748  -0.028506  
1866  0.076339  0.086935  0.073314  -0.083910  
1867  0.008953  -0.155210  0.253016  -0.088852  
1868  -0.310514  0.012260  -0.251283  -0.071492  
1869  -0.063781  -0.344812  0.372271  -0.091240  
1870  0.084845  -0.196558  0.295264  -0.013860  
1871  -0.463601  -0.267541  -0.234243  0.038183  
1872  -0.697309  0.168428  -0.858066  -0.007671  
1873  0.396607  0.003164  0.383535  0.009908  
1874  -0.192533  0.337914  -0.503075  -0.027372  
1875  -0.659357  0.405031  -1.105024  0.040636  
1876  0.683494  -0.247081  0.995351  -0.064776  
1877  0.901313  -0.589226  1.472344  0.018195  
1878  -0.792272  -0.754105  -0.082282  0.044115  
1879  -0.799354  0.121362  -0.863639  -0.057077  
1880  0.547789  -0.113000  0.581208  0.079582  
1881  -0.983436  -0.743637  -0.264188  0.024389  
1882  -1.519898  -0.273174  -1.072783  -0.173941  
1883  0.391501  0.031864  0.302577  0.057060  
1884  0.888082  0.092997  0.767224  0.027861  
1885  -0.515726  0.083716  -0.556630  -0.042812  
1886  0.131945  0.055923  0.176633  -0.100610  
1887  0.090167  -0.174990  0.364745  -0.099589  
1888  -0.215424  -0.000648  -0.133126  -0.081649  
1889  0.043605  -0.342478  0.488323  -0.102240  
1890  0.229884  -0.169725  0.422446  -0.022836  
1891  -0.348508  -0.222380  -0.157170  0.031042  
1892  -0.564771  0.201281  -0.748630  -0.017422  
1893  0.536199  0.051737  0.484768  -0.000306  
1894  -0.068557  0.382241  -0.415572  -0.035225  
1895  -0.575811  0.427311  -1.031544  0.028422  
1896  0.822646  -0.197278  1.089929  -0.070005  
1897  1.094340  -0.512166  1.598759  0.007747  
1898  -0.642241  -0.680002  0.006151  0.031610  
1899  -0.692975  0.181326  -0.806532  -0.067769  
1900  0.700323  -0.036305  0.665279  0.071348  
1901  -0.856564  -0.675772  -0.198399  0.017607  
1902  -1.479315  -0.274090  -1.025617  -0.179607  
1903  0.440806  0.041441  0.355872  0.043493  
1904  0.937732  0.110096  0.815143  0.012493  
1905  -0.522839  0.073401  -0.540536  -0.055705  
1906  0.167977  0.049513  0.230796  -0.112332  
