"t" "observations" "reconstructed"
1959 7.33009708737864 8.98058252427184
1960 5.53398058252427 6.01941747572815
1961 6.01941747572815 8.83495145631068
1962 4.32038834951456 7.03883495145631
1963 4.41747572815534 8.59223300970874
1964 3.88349514563107 5.8252427184466
1965 8.54368932038835 10
1966 8.54368932038835 7.33009708737864
1967 5.29126213592233 6.69902912621359
1968 8.05825242718447 4.95145631067961
1969 10.0970873786408 12.1844660194175
1970 8.93203883495146 13.252427184466
1971 5.92233009708738 6.31067961165049
1972 11.4563106796117 10.873786407767
1973 11.2621359223301 9.12621359223301
1974 5.87378640776699 0.922330097087376
1975 9.46601941747573 5.92233009708738
1976 7.76699029126213 5.24271844660194
1977 14.6116504854369 10.1456310679612
1978 10.873786407767 6.50485436893204
1979 16.2621359223301 12.621359223301
1980 13.6407766990291 14.1747572815534
1981 8.88349514563107 7.42718446601942
1982 8.00970873786408 10.9708737864078
1983 13.495145631068 14.4174757281553
1984 10 6.69902912621359
1985 12.4757281553398 7.9126213592233
1986 9.02912621359223 10.0485436893204
1987 20.4854368932039 16.8932038834951
1988 17.4757281553398 10.5339805825243
1989 10.6796116504854 7.66990291262136
1990 9.75728155339806 11.6504854368932
1991 5.58252427184466 12.4757281553398
1992 5.48543689320388 11.3592233009709
1993 10.0970873786408 8.83495145631068
1994 13.6893203883495 14.6601941747573
1995 14.9029126213592 13.7378640776699
1996 9.02912621359223 9.66019417475728
1997 14.5631067961165 12.9126213592233
1998 20.8252427184466 14.5145631067961
1999 10.3398058252427 8.00970873786408
2000 9.80582524271845 7.81553398058252
2001 14.4660194174757 14.368932038835
2002 18.495145631068 19.3203883495146
2003 17.4757281553398 15.5339805825243
2004 13.1067961165049 12.4757281553398
2005 18.5436893203883 18.7864077669903
2006 14.2233009708738 14.6601941747573
2007 15.9223300970874 15.1456310679612
2008 14.0776699029126 13.8834951456311
2009 12.7184466019417 17.8155339805825
2010 19.126213592233 19.1747572815534
2011 13.7864077669903 16.747572815534
2012 18.495145631068 23.7864077669903
2013 18.8349514563107 20.3883495145631
2014 16.1165048543689 18.6407766990291
2015 22.8155339805825 26.2621359223301
2016 22.3300970873786 21.3592233009709
2017 19.2718446601942 19.4174757281553
