,ELUC_net,ELUC_turnover,ELUC_harvest,ELUC_all
1500,0,0,0,0
1501,-0.012436631,0,-0.030659154,-0.043095786
1502,0.017095113,-0.008610912,-0.028542223,-0.020058022
1503,-0.027325589,-0.007617762,-0.030726971,-0.065670322
1504,-0.005027138,-0.006361362,-0.028196167,-0.039584667
1505,-0.005316468,-0.00725124,-0.028444261,-0.041011968
1506,0.024885304,-0.00698433,-0.029335255,-0.01143428
1507,-0.034776791,-0.006645487,-0.0362394,-0.077661677
1508,-0.019464968,-0.008976893,-0.030332093,-0.058773954
1509,-0.005488496,-0.007573193,-0.035851281,-0.04891297
1510,-0.026106946,-0.006569991,-0.035774418,-0.068451356
1511,-0.008383139,-0.006631396,-0.031609336,-0.046623871
1512,0.019168236,-0.006259098,-0.034187593,-0.021278455
1513,-0.04029663,-0.005136777,-0.034559797,-0.079993204
1514,-0.002240975,-0.006020504,-0.032638597,-0.040900076
1515,-0.007249739,-0.005996247,-0.031298858,-0.044544844
1516,0.039048748,-0.005348829,-0.032986051,0.000713868
1517,-0.037707763,-0.005605402,-0.035843691,-0.079156856
1518,-0.014639367,-0.004566179,-0.029920953,-0.049126499
1519,-0.02631988,-0.003868139,-0.024341963,-0.054529982
1520,-0.02717219,-0.00628878,-0.031606438,-0.065067408
1521,-0.019525022,-0.002304627,-0.031486649,-0.053316298
1522,-0.001782703,0.007235486,-0.025735592,-0.020282809
1523,-0.016757455,-0.009387398,-0.025089673,-0.051234525
1524,-0.014481522,-0.000454285,-0.032749981,-0.047685789
1525,0.007595963,-0.010905641,-0.03214087,-0.035450548
1526,0.05487192,-0.002630961,-0.025560496,0.026680463
1527,-0.03383012,-0.017277283,-0.029871477,-0.080978881
1528,-0.006306711,-0.015137939,-0.029187675,-0.050632325
1529,-0.014156004,-0.006426153,-0.018115883,-0.03869804
1530,0.018599012,-0.012744175,-0.028596102,-0.022741265
1531,-0.031775074,-0.010442047,-0.021528331,-0.063745452
1532,0.019727526,-0.014617755,-0.023787666,-0.018677895
1533,-0.011483755,-0.020383122,-0.027961483,-0.05982836
1534,-0.007229835,-0.022510465,-0.016122225,-0.045862525
1535,0.015020984,-0.022277127,-0.024842725,-0.032098867
1536,0.052784728,-0.021184718,-0.014787024,0.016812986
1537,-0.020007784,-0.011307248,-0.022571721,-0.053886754
1538,-0.018154395,-0.019776328,-0.026074986,-0.064005708
1539,-0.021124142,-0.023839519,-0.020736991,-0.065700652
1540,0.000222726,-0.023557019,-0.01860717,-0.041941463
1541,-0.0232601,-0.0181735,-0.016362752,-0.057796351
1542,0.012860229,-0.002320805,-0.020761822,-0.010222397
1543,-0.074905587,-0.009029712,-0.011872512,-0.09580781
1544,-0.004055967,-0.009368318,-0.030628842,-0.044053127
1545,0.013578082,-0.016520294,-0.016439913,-0.019382125
1546,0.051764927,-0.013214168,-0.019883233,0.018667525
1547,-0.046310994,-0.003988424,-0.018640438,-0.068939857
1548,-0.004640058,-0.026886965,-0.012980876,-0.044507899
1549,-0.002384034,-0.01037903,-0.021704947,-0.034468011
1550,-0.01554683,-0.018878374,-0.026607754,-0.061032957
1551,0.003699066,-0.017820885,-0.011983085,-0.026104904
1552,-0.004832542,-0.011264467,-0.007670914,-0.023767924
