,ELUC_net,ELUC_turnover,ELUC_harvest,ELUC_all
1500,0,0,0,0
1501,-0.014166547,3.67928E-13,-0.027436251,-0.041602798
1502,-0.017542492,-0.007297149,-0.029073674,-0.053913315
1503,-0.037165191,-0.007025694,-0.029696444,-0.073887329
1504,0.010717688,-0.00809957,-0.030723612,-0.028105494
1505,-0.006009397,-0.008485681,-0.032058475,-0.046553553
1506,-0.0066623,-0.008197616,-0.030271332,-0.045131248
1507,-0.029533562,-0.008184522,-0.03595781,-0.073675894
1508,-0.038460174,-0.008635283,-0.029155863,-0.076251321
1509,-0.016537302,-0.008305057,-0.031185489,-0.056027848
1510,-0.04479921,-0.008923231,-0.027201588,-0.080924029
1511,0.016907609,-0.008610336,-0.035354963,-0.02705769
1512,-0.020712815,-0.007676013,-0.036752505,-0.065141333
1513,-0.047495023,-0.008734823,-0.041525153,-0.097754999
1514,0.017512561,-0.008178557,-0.022473886,-0.013139882
1515,-0.010632259,-0.008828775,-0.031723232,-0.051184266
1516,-0.018452253,-0.008727978,-0.02864911,-0.05582934
1517,-0.031557415,-0.010112165,-0.033747462,-0.075417042
1518,-0.011895751,-0.013086057,-0.021555963,-0.04653777
1519,-0.021831185,-0.009936675,-0.040849971,-0.072617831
1520,0.009645138,-0.00954684,-0.022769585,-0.022671287
1521,-0.022308396,-0.011295764,-0.03038582,-0.06398998
1522,-0.015158047,-0.012593649,-0.029398514,-0.057150211
1523,-0.039762136,-0.012836248,-0.025092843,-0.077691227
1524,0.014018337,-0.015437622,-0.024947653,-0.026366938
1525,0.01661233,-0.016040696,-0.016227997,-0.015656364
1526,0.010891366,-0.018246095,-0.034559119,-0.041913848
1527,-0.007931806,-0.020000178,-0.029807006,-0.05773899
1528,-0.036847271,-0.025630817,-0.021332549,-0.083810637
1529,-0.030288646,-0.019620216,-0.031664848,-0.08157371
1530,0.010630413,-0.023341755,-0.014980007,-0.027691349
1531,-0.017176447,-0.026613094,-0.028340744,-0.072130285
1532,-0.038728693,-0.030128524,-0.019514889,-0.088372106
1533,-0.040916576,-0.026291844,-0.036247209,-0.103455629
1534,0.0023118,-0.032199034,-0.019577535,-0.049464769
1535,-0.001184404,-0.031197367,-0.027025679,-0.059407451
1536,-0.000591565,-0.032096358,-0.0126621,-0.045350023
1537,-0.041831975,-0.032071888,-0.027634667,-0.10153853
1538,-0.024220738,-0.036815185,-0.013514641,-0.074550564
1539,-0.015125197,-0.034761586,-0.017176245,-0.067063029
1540,-0.013701969,-0.031186563,-0.02755703,-0.072445562
1541,-0.024468966,-0.035629707,-0.014818107,-0.074916779
1542,-0.012351756,-0.038143269,-0.022284941,-0.072779966
1543,-0.053488013,-0.033316095,-0.012231564,-0.099035671
1544,0.010233062,-0.036556211,-0.020164737,-0.046487887
1545,0.009301859,-0.042274356,-0.00257792,-0.035550417
1546,0.003628643,-0.037483052,-0.022411206,-0.056265615
1547,-0.030970112,-0.034509693,-0.004079602,-0.069559407
1548,-0.007502721,-0.045635563,-0.023773048,-0.076911331
1549,-0.026485318,-0.040674414,-0.022289739,-0.089449472
1550,0.029059447,-0.033710846,-0.017301789,-0.021953188
1551,-0.051381164,-0.044977099,-0.017495549,-0.113853812
1552,-0.039882563,-0.045005821,-0.005239558,-0.090127943
1553,0.006436914,-0.03826534,-0.021738172,-0.053566597
1554,-0.004036632,-0.042151816,-0.012488305,-0.058676753
1555,0.027873902,-0.046840746,-0.024888866,-0.04385571
1556,-0.005441589,-0.044614107,-0.004227791,-0.054283488
1557,-0.046792159,-0.047925602,-0.020355398,-0.115073159
1558,-0.042022082,-0.04412214,-0.011832546,-0.097976768
1559,-0.021234989,-0.043368701,-0.017039477,-0.081643168
1560,0.023831935,-0.047603236,-0.017094557,-0.040865859
1561,-0.071730987,-0.050197632,-0.015288741,-0.13721736
1562,-0.026835023,-0.047253901,-0.015682167,-0.089771091
1563,0.019621424,-0.045715531,-0.013565822,-0.039659929
1564,-0.017334891,-0.047332452,-0.011934405,-0.076601748
1565,0.035706781,-0.04989138,-0.013981259,-0.028165859
1566,0.001549879,-0.053650852,-0.012838194,-0.064939167
1567,-0.065620024,-0.038854485,-0.000108704,-0.104583213
1568,-0.023555345,-0.066661799,-0.022295787,-0.112512932
1569,-0.021344914,-0.046865207,-0.009520735,-0.077730855
1570,0.001972917,-0.047300508,-0.0134892,-0.058816792
1571,-0.051370762,-0.032258962,-0.01031282,-0.093942545
1572,-0.038266145,-0.064178757,-0.005746935,-0.108191837
1573,-0.003791517,-0.047502707,-0.006281524,-0.057575748
1574,-0.003860672,-0.046752179,-0.017978247,-0.068591097
1575,0.039788141,-0.054529744,-0.010720171,-0.025461774
1576,0.005187985,-0.040301155,-0.009985329,-0.045098499
1577,-0.065552911,-0.04271621,-0.020054268,-0.128323389
1578,-0.013429138,-0.054662832,-0.00558544,-0.07367741
1579,-0.025297156,-0.046595362,-0.010623065,-0.082515583
1580,0.012018023,-0.036214342,-0.013293427,-0.037489746
1581,-0.042352404,-0.068993549,-0.009279948,-0.120625901
1582,-0.055590097,-0.031850672,-0.003269208,-0.090709978
1583,0.000803226,-0.041720339,-0.002506952,-0.043424066
1584,-0.00669119,-0.042597284,-0.012627305,-0.061915779
1585,0.023276273,-0.048487228,-0.008782034,-0.033992988
1586,0.007674771,-0.044864826,-0.010104313,-0.047294368
1587,-0.052490741,-0.051709133,-0.007670009,-0.111869884
1588,-0.011640838,-0.048040128,-0.009725211,-0.069406177
1589,-0.002925812,-0.041994848,-0.015999156,-0.060919816
1590,0.001565482,-0.045471708,-0.005166846,-0.049073072
1591,-0.029935654,-0.047848217,-0.013862544,-0.091646415
1592,-0.072012442,-0.041016636,0.000571331,-0.112457746
1593,0.002244154,-0.038145752,-0.003254075,-0.039155673
1594,-0.004578435,-0.046795816,-0.014952744,-0.066326995
1595,0.028337993,-0.043100567,-0.009592172,-0.024354746
1596,0.000832418,-0.047984515,-0.003780981,-0.050933078
1597,-0.065721497,-0.045139255,-0.002244821,-0.113105573
1598,-0.007121911,-0.050261729,-0.007777473,-0.065161113
1599,-0.006772358,-0.043575463,-0.009143851,-0.059491672
1600,-0.021106191,-0.045096553,-0.007840782,-0.074043525
1601,-0.065603277,-0.057767377,-0.00896769,-0.132338344
1602,-0.032105652,-0.049373669,-0.009539089,-0.09101841
1603,-0.000319002,-0.0567742,-0.005859342,-0.062952544
1604,-0.012151368,-0.05161482,-0.006940684,-0.070706872
1605,0.051822841,-0.055393737,-0.00207514,-0.005646037
1606,-0.005241806,-0.042839212,-0.019669138,-0.067750156
1607,-0.054738066,-0.05171797,-0.00905946,-0.115515496
1608,-0.034651033,-0.045766865,-0.007557069,-0.087974968
1609,-0.011247311,-0.043775179,-0.008557991,-0.063580481
1610,0.016753208,-0.041321494,0.001370011,-0.023198276
1611,-0.054956053,-0.03973187,-0.005636943,-0.100324866
1612,-0.05737979,-0.047235211,-0.000844901,-0.105459902
1613,0.003654715,-0.046495538,-0.009147106,-0.051987928
1614,-0.012393933,-0.049791673,-0.001619605,-0.063805212
1615,0.037947009,-0.048775528,-0.012434467,-0.023262986
1616,-0.00230888,-0.036370387,0.009110163,-0.029569105
1617,-0.040749408,-0.041332031,-0.001903623,-0.083985061
1618,-0.025810287,-0.047060548,0.00204582,-0.070825015
1619,-0.010683328,-0.040529996,-0.009795881,-0.061009205
1620,-0.010254536,-0.036882327,-0.0149359,-0.062072763
1621,-0.04218235,-0.053109552,-0.009707767,-0.104999669
1622,-0.07377623,-0.031523986,-0.008015818,-0.113316035
1623,-0.044978911,-0.034623443,-0.001677151,-0.081279505
1624,-0.002429777,-0.040657536,-0.006341184,-0.049428497
1625,0.032457135,-0.043605427,-0.007329899,-0.018478191
1626,-0.003687901,-0.035170011,-0.015890037,-0.054747948
1627,-0.069637358,-0.040784158,-0.01074363,-0.121165146
1628,0.020730121,-0.036502113,-0.012481963,-0.028253956
1629,-0.028130492,-0.035514279,-0.009296994,-0.072941765
1630,-0.015404169,-0.029060655,-0.004069079,-0.048533902
