1850,-1.84,0.521,-0.705,-0.693,-0.502,0.317,0.487,0.522,-0.224,-0.604,-0.115,-0.012
1850,3,3,3,3,3,3,3,3,3,3,3,3
1851,0.345,-0.065,-0.85,-0.298,-0.099,0.094,0.018,0.206,0.336,0.402,-0.295,-0.035
1851,3,3,3,3,3,3,3,3,3,3,3,3
1852,-0.241,-0.254,-0.764,-1.137,0.068,0.23,0.232,0.13,0.165,-0.322,-0.387,0.656
1852,3,3,3,3,3,3,3,3,3,3,3,3
1853,0.612,-0.456,-0.904,-0.699,-0.069,-0.214,0.273,0.266,-0.558,-0.176,-0.891,-1.074
1853,3,3,3,3,3,3,3,3,3,3,3,3
1854,-0.394,-0.298,0,-0.6,-0.12,-0.166,0.596,0.175,-0.16,0.17,-0.736,0.004
1854,3,3,3,3,3,3,3,3,3,3,3,3
1855,-0.386,-1.652,-0.886,0.083,0.05,-0.253,0.053,-0.112,-0.419,-0.22,-0.65,-1.926
1855,3,3,3,3,3,4,3,4,4,3,3,4
1856,-0.148,-0.801,-1.435,-0.395,-0.766,0.385,-0.342,-0.382,-0.63,-0.738,-1.357,-0.31
1856,4,4,4,4,4,4,4,4,4,3,4,4
1857,-1.026,-0.043,-0.801,-1.582,-1.124,-0.391,-0.201,-0.021,-0.488,-0.691,-0.841,0.355
1857,4,4,4,4,4,4,4,4,4,4,4,4
1858,-0.074,-1.414,-0.893,-0.411,-0.557,-0.007,-0.333,-0.308,-0.28,-0.234,-1.763,-0.412
1858,4,4,4,4,4,4,4,4,4,4,4,4
1859,-0.194,0.112,-0.129,-0.278,-0.093,-0.164,0.173,0.053,-0.472,-0.134,-0.398,-1.028
1859,4,4,4,4,4,4,4,4,4,4,4,4
1860,0.121,-1.096,-1.606,-0.608,-0.425,-0.126,-0.239,0.006,-0.266,-0.438,-1.328,-1.707
1860,4,4,4,4,4,4,4,4,4,4,4,4
1861,-2.104,0.016,0.002,-0.811,-1.151,-0.032,-0.207,0.009,-0.409,-0.429,-0.697,-0.472
1861,4,4,4,4,4,4,4,4,4,4,4,4
1862,-1.241,-1.523,-0.496,-0.344,-0.247,-0.405,-0.505,-0.786,-0.422,-0.618,-1.148,-1.271
1862,4,4,4,4,3,4,4,4,4,4,4,4
1863,0.845,0.297,-0.429,-0.414,-0.352,-0.485,-0.575,-0.353,-0.39,-0.669,-0.444,-0.456
1863,4,4,4,4,4,4,4,4,4,4,4,4
1864,-1.58,-0.74,-0.495,-0.852,-0.782,0.038,-0.225,-0.544,-0.413,-1.359,-1.328,-1.425
1864,4,4,4,4,4,4,4,4,4,4,4,4
1865,-0.206,-1.364,-1.489,-0.317,-0.299,-0.335,-0.028,-0.418,0.072,-0.584,0.001,-0.612
1865,4,4,4,4,4,4,4,4,4,4,4,4
1866,0.471,-0.587,-0.873,-0.336,-0.775,-0.123,-0.151,-0.622,-0.168,-0.948,-0.823,-0.419
1866,4,4,4,4,4,4,4,4,4,4,4,4
1867,-0.686,0.39,-1.87,-0.665,-1.188,-0.357,-0.467,-0.285,-0.203,-0.149,-0.675,-1.037
1867,4,4,4,4,4,4,4,4,4,4,4,4
1868,-1.399,-0.961,-0.335,-0.778,0.075,-0.009,0.246,0.036,-0.414,-0.205,-1.097,-0.281
1868,4,4,4,4,5,5,5,5,5,4,5,5
1869,-0.257,0.673,-1.141,-0.455,-0.509,-0.502,-0.36,0.074,-0.178,-0.983,-0.646,-0.538
1869,5,5,5,5,5,5,4,4,5,5,5,5
1870,-0.033,-1.081,-1.074,-0.527,-0.131,-0.029,-0.008,-0.771,-0.317,-0.587,-0.253,-1.747
1870,5,5,5,5,5,5,5,5,5,5,5,5
1871,-1.19,-1.257,-0.16,-0.397,-0.624,-0.468,-0.055,0.07,-0.622,-0.661,-1.276,-1.188
1871,5,5,5,5,5,5,5,5,5,5,5,5
